ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
971,F,28,4,1.777777778,2,3.8,2.875,,,,,
972,M,26,3,4.777777778,3.75,1,1.25,,,,,
973,F,30,4,1.111111111,1,3.2,3.875,,,,,
974,F,51,4,2.333333333,1,2.4,3.25,,,,,
975,NA,18,2,3.111111111,3.25,3.6,2.75,,,,,
976,F,47,4,1.111111111,1.75,3,3.625,,,,,
977,M,35,2,1.222222222,1,3.2,3.25,,,,,
978,F,38,6,2.333333333,1,3,2.5,,,,,
979,F,25,4,2.333333333,2.75,3,2.75,,,,,
980,F,22,3,1.777777778,3,2.8,3.375,,,,,
981,F,53,2,1.666666667,2.75,4,3.25,,,,,
982,F,31,4,1.555555556,1.5,4.8,3.625,,,,,
983,F,34,4,1.333333333,1,1.6,3.75,,,,,
984,M,28,4,1.111111111,1,3.2,3.75,,,,,
985,M,35,4,2.666666667,3,2.2,3.75,,,,,
986,M,45,2,1.555555556,1.5,2.4,3,,,,,
987,M,37,2,1.444444444,1.5,3.8,2.125,,,,,
988,F,29,4,3.222222222,1,3,4,,,,,
989,M,25,4,1.444444444,3.25,4.2,3.5,,,,,
990,F,23,3,3.222222222,2.25,2.2,3.75,,,,,
991,F,39,5,1,1,3.2,2.875,,,,,
992,M,39,6,1.333333333,2.5,3.2,3.5,,,,,
993,F,28,4,4.333333333,4,1.4,1.375,,,,,
994,M,46,2,1.111111111,3,3.4,3.875,,,,,
995,F,31,4,1.444444444,1,2.8,3.375,,,,,
996,M,33,3,2.888888889,3,2.8,3.75,,,,,
997,F,27,4,2.444444444,3,3.2,3.875,,,,,
998,F,46,4,1.888888889,3.75,3.6,3.25,,,,,
999,F,41,4,1.111111111,1,4.2,3.625,,,,,
1000,F,23,3,1.444444444,1.5,3.8,2.875,,,,,
1001,F,32,5,1.222222222,1.5,3.4,3.25,,,,,
1002,F,33,4,2.444444444,2.5,2.8,3.375,,,,,
1003,M,37,5,1.777777778,1,3.4,2.625,,,,,
1004,F,53,2,4.333333333,4.75,1.2,3.125,,,,,
1005,F,33,4,1.111111111,1,3.4,3.5,,,,,
1006,M,37,5,2.333333333,1.75,3.2,2.25,,,,,
1007,F,32,6,1.222222222,1,3.8,3.875,,,,,
1008,F,31,5,1.333333333,2.25,3.8,4,,,,,
1009,F,36,5,1.888888889,3.25,3.2,3.125,,,,,
1010,F,34,4,3.555555556,3,1.6,2.25,,,,,
1011,M,55,3,2.777777778,3.25,1,1.5,,,,,
1012,F,40,4,2.333333333,3,3.2,3.375,,,,,
1013,M,55,4,1.333333333,1.5,5,3.625,,,,,
1014,F,37,5,2,3,3,3.625,,,,,
1015,M,35,3,2,1,3.6,3.625,,,,,
1016,F,35,3,1.333333333,2.25,3.6,3.25,,,,,
1017,F,32,4,3.111111111,3.75,3.4,2.875,,,,,
1018,F,34,5,2.222222222,1.75,3.6,3.625,,,,,
1019,F,32,4,1,1,4,4,,,,,
1020,M,34,2,1.555555556,1.5,2.8,2.75,,,,,
1021,M,36,5,1.555555556,1.75,3.8,3.25,,,,,
1022,F,28,2,1,1.5,4.8,3.5,,,,,
1023,M,48,4,1.777777778,1.5,4.2,3.625,,,,,
1024,M,45,2,1,2.75,4.6,3.875,,,,,
1025,F,27,3,1.666666667,1,3,3.75,,,,,
1026,F,32,4,2.555555556,1.75,2,2.875,,,,,
1027,F,36,3,3.222222222,2.25,3,3,,,,,
1028,M,34,4,1.666666667,3,1,3.5,,,,,
1029,F,33,5,1.333333333,2,3,3.125,,,,,
1030,M,28,4,3.333333333,2.25,2.8,3.625,,,,,
1031,F,42,6,2.777777778,1,4.6,3.5,,,,,
1032,F,35,4,1,1,5,2.25,,,,,
1033,F,55,4,1,1,3.6,3.875,,,,,
1034,F,20,2,2.555555556,1,2.8,3.25,,,,,
1035,M,38,3,1.222222222,1,2.6,4,,,,,
1036,F,30,4,1.111111111,1,3.8,3.875,,,,,
1037,F,36,2,2.333333333,2.5,1.2,2.125,,,,,
1038,M,37,4,1.888888889,3.75,3.2,3.375,,,,,
1039,F,31,4,1.888888889,2,4.4,4,,,,,
1040,F,33,4,2.444444444,3,1,1.625,,,,,
1041,M,21,3,2,2.75,3.4,2.625,,,,,
1042,F,43,4,1.888888889,2,3.4,3.75,,,,,
1043,F,45,4,1.222222222,1.5,3,2.125,,,,,
1044,M,36,5,1.111111111,1.5,1.4,3.125,,,,,
1045,F,39,4,1.333333333,2.25,4.2,3.875,,,,,
1046,M,39,5,2,1.25,3.4,3.875,,,,,
1047,M,26,3,2.111111111,3.75,3.6,4,,,,,
1048,M,30,5,2.444444444,3,4,2.125,,,,,
1049,F,35,5,2.222222222,3,3.8,3.625,,,,,
1050,M,34,4,1.555555556,3,3.8,3,,,,,
1051,F,20,2,1,1.5,3.8,3.625,,,,,
1052,F,48,4,2.777777778,3,3.8,3.375,,,,,
1053,M,28,4,1.111111111,1,4.2,3,,,,,
1054,F,28,4,1.222222222,1,4.4,3.75,,,,,
1055,M,34,3,1,1,4.4,3.375,,,,,
1056,F,40,2,2.222222222,2.5,3.6,4,,,,,
1057,M,41,3,1.222222222,1.25,4,3.5,,,,,
1058,M,20,2,1.222222222,2,4.8,2.75,,,,,
1059,F,28,3,2.111111111,1,2.8,2.375,,,,,
1060,F,35,4,1.111111111,1,4.2,3.5,,,,,
1061,F,31,4,1.222222222,1,4.2,3.625,,,,,
1062,F,48,3,3.333333333,2.75,4,3.5,,,,,
1063,F,61,4,3.222222222,4.5,3.8,3.75,,,,,
1064,M,40,4,1.333333333,1,3.6,3,,,,,
1065,M,34,2,2.777777778,1,2,1.875,,,,,
1066,F,28,4,2.666666667,3.5,4.8,3.875,,,,,
1067,M,43,3,1.666666667,2,1,3.75,,,,,
1068,M,46,6,2,2,4.6,2.75,,,,,
1069,F,52,4,1.333333333,3,3.4,3.5,,,,,
1070,F,65,3,1.555555556,2,1.6,1.625,,,,,
1071,F,45,4,4.111111111,4.25,3,2.625,,,,,
1072,F,49,2,2.111111111,2,5,4,,,,,
1073,F,53,2,4.666666667,4.75,2.8,2,,,,,
1074,F,34,5,3.888888889,3,3.6,4,,,,,
1075,F,30,5,1.666666667,1,3,3,,,,,
1076,M,17,2,5,4.25,3.4,1.375,,,,,
1077,F,49,5,4.444444444,3.5,2,2,,,,,
1078,F,43,5,1.555555556,1,3.8,3.75,,,,,
1079,F,54,4,2.222222222,3.25,2.6,2.75,,,,,
1080,M,38,6,2.777777778,4.75,3.6,3.125,,,,,
1081,F,54,2,1.666666667,4.25,2,2.375,,,,,
1082,F,59,4,3.333333333,3.75,3.8,3,,,,,
1083,F,33,3,1.444444444,1,3.8,3.875,,,,,
1084,M,34,6,1.333333333,1,3.6,4,,,,,
1085,M,36,3,3,2.25,2.2,2.625,,,,,
1086,M,40,2,1.333333333,1,3,3.5,,,,,
1087,F,46,2,2.666666667,3,4,3.125,,,,,
1088,M,32,5,1.333333333,1,3.4,3.125,,,,,
1089,F,38,3,1.222222222,1.25,3.6,3.875,,,,,
1090,M,36,3,2,1.5,2.8,3.375,,,,,
1091,F,19,2,3.333333333,2.75,3.4,2.125,,,,,
1092,M,47,4,4.333333333,4,1,2.125,,,,,
1093,F,32,4,1.222222222,2.75,3.6,3.875,,,,,
1094,M,27,3,2.333333333,2.25,3.2,3.625,,,,,
1095,F,49,2,1.888888889,1,3.6,3.875,,,,,
1096,F,39,3,3.666666667,2.5,2.4,3.625,,,,,
1097,F,31,4,1.333333333,1.75,2.4,3.875,,,,,
1098,F,36,4,1,1,3.4,3.25,,,,,
1099,M,38,2,1,3,5,3.875,,,,,
1100,M,45,5,1.666666667,1.5,4,3.75,,,,,
1101,F,47,3,1.444444444,1.75,5,2.25,,,,,
1102,F,60,4,3.555555556,3,4,3.125,,,,,
1103,F,54,2,4.222222222,3.75,1.8,1.5,,,,,
1104,F,36,6,3,4,1,2.375,,,,,
1105,F,55,4,3.555555556,4.5,1.6,3.125,,,,,
1106,F,53,2,4.333333333,3.25,2.6,2.125,,,,,
1107,F,39,4,1.222222222,2,4.4,3.625,,,,,
1108,F,50,4,3.444444444,3.5,2.8,3.625,,,,,
1109,F,55,2,3.444444444,3.25,3,4,,,,,
1110,F,18,2,2.555555556,3.25,2.8,3.75,,,,,
1111,F,50,2,3.222222222,3.25,3.8,3.375,,,,,
1112,F,34,4,3,3,2.6,2.625,,,,,
1113,F,41,5,3.777777778,1,4,3.5,,,,,
1114,M,24,3,1.333333333,1.5,4,3.625,,,,,
1115,M,39,2,1,1.5,3.4,3.75,,,,,
1116,F,39,5,2.555555556,3.25,3.4,3.375,,,,,
1117,F,32,4,3.666666667,3.5,2,1.75,,,,,
1118,F,27,5,1.666666667,1.5,4,3.5,,,,,
1119,M,37,2,4,3.5,3,2.25,,,,,
1120,F,37,4,3.333333333,3,3,3.125,,,,,
1121,M,19,3,1.666666667,2,4.8,2.375,,,,,
1122,F,33,2,2.777777778,3,3.2,3.5,,,,,
1123,F,36,4,1,1.5,3.6,3.875,,,,,
1124,F,40,4,3.555555556,3,3.4,3.75,,,,,
1125,M,48,4,1.333333333,2.25,2.6,3.875,,,,,
1126,M,40,4,4.666666667,3.5,1,1.75,,,,,
1127,M,42,2,2.888888889,2.75,1,3.625,,,,,
1128,F,22,2,1.222222222,3,2,2.375,,,,,
1129,F,38,4,1.222222222,1.75,4,3.375,,,,,
1130,F,43,5,1.222222222,1,3.8,3.25,,,,,
1131,M,46,2,2.888888889,1.5,2,2.125,,,,,
1132,F,44,2,2.555555556,4.25,4,3.625,,,,,
1133,F,48,4,2,1,3.6,3.125,,,,,
1134,F,46,4,2.666666667,3.25,3.6,3.25,,,,,
1135,F,56,2,1.555555556,1.75,4,3.125,,,,,
1136,M,32,4,1.111111111,1.5,2.8,3.25,,,,,
1137,F,35,4,1.111111111,1,4.4,3.125,,,,,
1138,F,41,6,1.111111111,1,3.4,4,,,,,
1139,F,61,3,1.444444444,1.75,3.6,3.75,,,,,
1140,F,32,5,2.888888889,2.25,3,3,,,,,
1141,F,43,5,2.888888889,3.5,4.2,3.75,,,,,
1142,M,38,2,1.222222222,1,3.2,3.125,,,,,
1143,F,58,3,2.333333333,3,3.4,3,,,,,
1144,M,31,4,1.111111111,1,2.6,3.625,,,,,
1145,F,35,3,4.111111111,1.75,1.8,2.125,,,,,
1146,F,43,4,1.111111111,1,3.2,3.375,,,,,
1147,F,24,4,1.333333333,1.75,4.6,4,,,,,
1148,F,40,4,1,1.25,3.8,3.875,,,,,
1149,F,31,4,1.666666667,1,3.8,4,,,,,
1150,F,49,5,1,2,5,3.75,,,,,
1151,F,22,2,1.444444444,1.5,4.4,4,,,,,
1152,F,37,4,1.222222222,1,4,3.875,,,,,
1153,F,42,5,1.888888889,1.75,1.2,3.625,,,,,
1154,F,57,4,1.444444444,1.25,3.8,3.625,,,,,
1155,F,32,3,2.222222222,2.5,1.8,3.125,,,,,
1156,F,51,2,3.666666667,3.5,3.2,3.125,,,,,
1157,F,32,5,2.555555556,3,5,3.75,,,,,
1158,F,40,4,2.888888889,1.75,3.4,3.625,,,,,
1159,F,71,2,3.777777778,3.75,2.6,2.75,,,,,
1160,M,39,2,3.666666667,3.75,1,1.25,,,,,
1161,F,30,4,1.666666667,1,2.8,3.75,,,,,
1162,M,34,6,2.555555556,3.5,3.8,3.375,,,,,
1163,F,72,3,1.888888889,3.5,4.4,3.75,,,,,
1164,F,35,4,3.555555556,2.5,3,4,,,,,
1165,F,49,5,2.666666667,4,3.6,3.125,,,,,
1166,F,54,6,2.333333333,3.5,3.8,4,,,,,
1167,M,40,3,1.666666667,3,3.2,2.75,,,,,
1168,F,34,2,3.333333333,1,4.2,3.75,,,,,
1169,F,42,4,3.222222222,4,3,4,,,,,
1170,F,25,3,2.444444444,1.25,3,3.125,,,,,
1171,F,42,6,2.333333333,3.5,2.4,2,,,,,
1172,F,46,2,1.666666667,2,4.4,3.625,,,,,
1173,F,33,4,1,2.75,3.6,3.875,,,,,
1174,F,47,5,1.333333333,2.25,2.6,3.375,,,,,
1175,F,38,2,1.444444444,2.25,3,4,,,,,
1176,F,35,5,1.666666667,1,4.4,3.5,,,,,
1177,F,31,2,4,2.75,1.6,2.875,,,,,
1178,F,32,5,1.333333333,1.5,3.2,3.125,,,,,
1179,NA,20,2,3.444444444,3,3,3.625,,,,,
1180,F,37,3,1.111111111,1,4.6,3.875,,,,,
1181,F,34,5,4,4.25,2.8,2.75,,,,,
1182,M,43,3,3.222222222,2.5,1,1.75,,,,,
1183,F,32,3,1.222222222,1.25,4.2,3.75,,,,,
1184,F,31,4,1.888888889,3.25,4.6,3.625,,,,,
1185,M,38,2,1.666666667,1.25,2,3,,,,,
1186,F,43,4,2.555555556,3.5,3.8,3.875,,,,,
1187,F,33,4,3.222222222,3,1.8,3.375,,,,,
1188,F,63,3,1.111111111,1.75,4.4,3.75,,,,,
1189,F,43,5,4.888888889,4,1.4,4,,,,,
1190,F,25,4,1.888888889,2,2.8,3,,,,,
1191,M,29,2,4.555555556,3.5,2.2,2.25,,,,,
1192,F,35,4,1.333333333,2.25,3.2,3.5,,,,,
1193,F,21,3,3.777777778,1.25,2.6,2.625,,,,,
1194,F,21,3,3,3.25,3.6,3.875,,,,,
1195,M,39,6,2,2,3.6,3.875,,,,,
1196,F,22,2,1.888888889,1,2.8,3.875,,,,,
1197,F,25,2,4.555555556,3.75,2.6,3.75,,,,,
1198,M,28,2,1.222222222,1,3.8,3.625,,,,,
1199,F,22,2,1.666666667,1,3,4,,,,,
1200,F,24,2,2.222222222,1,2.6,3.375,,,,,
1201,F,25,2,2.111111111,3.25,3.4,3.25,,,,,
1202,F,41,6,3.111111111,3.5,4,3,,,,,
1203,M,0,6,2.444444444,3,3,2.875,,,,,
1204,F,21,2,1.666666667,3.25,4.2,2.25,,,,,
1205,M,30,2,1.333333333,3,3.2,2.125,,,,,
1206,F,23,3,2,2.25,4.8,3.75,,,,,
1207,F,35,2,2.777777778,3,3.2,3.5,,,,,
1208,F,34,4,4.333333333,4.25,3,3.875,,,,,
1209,F,28,4,2.777777778,1.75,3.8,2.875,,,,,
1210,M,54,6,1.555555556,1.5,2.4,4,,,,,
1211,M,35,6,2.333333333,3,3,3.25,,,,,
1212,M,34,4,1.888888889,3.5,2.6,3.75,,,,,
1213,F,41,5,2.666666667,2.25,3.2,1.375,,,,,
1214,F,28,4,3.888888889,4.5,1.8,3.25,,,,,
1215,F,32,4,1.444444444,2,5,4,,,,,
1216,F,47,2,4.111111111,3.75,2.4,2.875,,,,,
1217,F,22,2,3.444444444,1.5,1,2.875,,,,,
1218,M,20,2,3.777777778,3,1.2,1.625,,,,,
1219,NA,29,2,3.555555556,3.5,3.6,2,,,,,
1220,F,49,6,2.555555556,2,5,3.875,,,,,
1221,F,43,6,1.333333333,1.25,5,3,,,,,
1222,F,22,3,2.444444444,4,4.4,3.125,,,,,
1223,F,19,2,2.444444444,2,3.6,3.625,,,,,
1224,F,39,4,1.333333333,1.5,2.4,4,,,,,
1225,M,20,2,3,2.25,1.8,2.125,,,,,
1226,F,67,5,2.333333333,2.75,3.6,3.875,,,,,
1227,M,29,4,2.666666667,2.75,2.8,3.375,,,,,
1228,F,32,5,1.666666667,1,3.8,4,,,,,
1229,M,52,6,1.444444444,1.5,4.2,3.875,,,,,
1230,F,50,6,1.333333333,1,4.6,3.625,,,,,
1231,M,21,2,1.444444444,1,1,3.25,,,,,
1232,F,41,6,1.111111111,1,4.4,3.875,,,,,
1233,F,24,4,1.333333333,2.75,4.2,3.5,,,,,
1234,F,24,3,2.888888889,2.25,3,2.75,,,,,
1235,F,22,3,2.555555556,4.25,4.4,3.125,,,,,
1236,M,23,2,2,3,3.6,1.625,,,,,
1237,F,50,5,2,2.25,4.8,3.75,,,,,
1238,M,29,3,2,2,1.6,3.625,,,,,
1239,F,26,4,1.888888889,1.25,3.4,3.625,,,,,
1240,F,22,3,1.333333333,1.75,4.8,3.875,,,,,
1241,F,25,3,2,1,2.6,2.75,,,,,
1242,M,49,3,2.777777778,3,1.2,2,,,,,
1243,F,32,5,1.111111111,1,3.6,3.375,,,,,
1244,F,24,4,2,2,4,4,,,,,
1245,F,21,2,1.555555556,2.5,3.2,3.25,,,,,
1246,M,40,2,1.444444444,1,3.2,2.5,,,,,
1247,F,26,2,3.111111111,3,1.2,2.875,,,,,
1248,M,23,3,1.111111111,1,2.6,2.5,,,,,
1249,F,36,4,1.777777778,1,2.2,2.25,,,,,
1250,F,35,4,1.555555556,1,4,3.5,,,,,
1251,M,31,4,1,1,3.4,3.75,,,,,
1252,M,38,6,1.222222222,1,1.8,3.375,,,,,
1253,F,45,5,1.222222222,2.5,4.6,4,,,,,
1254,M,23,2,2.888888889,3.25,2.8,3.5,,,,,
1255,F,25,3,3.777777778,2,1.8,2.5,,,,,
1256,F,21,2,2.444444444,3.25,3.8,3.875,,,,,
1257,F,43,5,1,1.5,1.6,3.875,,,,,
1258,F,24,3,2,1,2.8,3.375,,,,,
1259,F,24,3,1.666666667,1.5,3.2,3.75,,,,,
1260,F,22,2,1.444444444,1.25,4.2,4,,,,,
1261,F,28,4,4.222222222,1,1,3.125,,,,,
1262,F,27,3,2.777777778,3.75,1.4,2.375,,,,,
1263,M,50,2,1,1,4.6,3.625,,,,,
1264,F,25,3,1.222222222,1,3.6,3.625,,,,,
1265,F,27,4,1.222222222,3.25,3,3.75,,,,,
1266,F,35,3,3,2.25,3.6,4,,,,,
1267,F,25,3,1.666666667,2,3.6,4,,,,,
1268,F,45,6,2.111111111,2,4.2,4,,,,,
1269,F,25,3,3,3.5,3,3.625,,,,,
1270,F,24,2,1.333333333,1.5,2.6,3.625,,,,,
1271,M,26,4,1.333333333,1.25,3.6,3,,,,,
1272,F,30,4,1.444444444,3,4.2,3.75,,,,,
1273,F,38,5,1.222222222,2.5,3.4,3.75,,,,,
1274,F,25,2,4.333333333,4.25,2.4,2.125,,,,,
1275,F,34,6,1.222222222,1,3.6,3.875,,,,,
1276,F,19,3,4.111111111,3.5,2.4,1.75,,,,,
1277,F,34,6,1,1,3.8,3.75,,,,,
1278,F,33,4,1.111111111,1.25,4.2,3.625,,,,,
1279,F,27,4,1.555555556,1,3.4,4,,,,,
1280,F,29,4,1.333333333,1,4.4,4,,,,,
1281,F,55,4,1,3.25,3.4,3.5,,,,,
1282,F,23,2,1.666666667,1,4,4,,,,,
1283,F,24,2,3.222222222,4.25,3.6,3.75,,,,,
1284,F,49,2,4,4,2.8,3.25,,,,,
1285,F,40,4,1.555555556,1.75,2.4,3.5,,,,,
1286,M,36,6,1.333333333,1.5,3.4,3.5,,,,,
1287,F,22,3,1.333333333,1,2.6,3.375,,,,,
1288,F,55,4,1.333333333,1.25,3.6,3,,,,,
1289,F,36,6,1.222222222,1,3,2.75,,,,,
1290,F,41,6,1.111111111,1,3.2,4,,,,,
1291,F,21,2,2,2.75,3.8,3.75,,,,,
1292,F,37,5,1.222222222,1,2,4,,,,,
1293,M,48,6,3,3,3.4,3.25,,,,,
1294,F,23,3,1.333333333,1.75,3.6,3.5,,,,,
1295,F,39,4,1.444444444,2,3.8,3.625,,,,,
1296,F,21,2,1.111111111,1.5,4.8,3.875,,,,,
1297,F,37,3,2.666666667,1.75,3.6,3.625,,,,,
1298,F,30,4,1.222222222,1,4,3.875,,,,,
1299,F,33,6,2.555555556,3,3.8,3.75,,,,,
1300,M,62,6,1.333333333,2.5,2,3,,,,,
1301,F,39,4,1.444444444,1.5,2.6,3.5,,,,,
1302,F,34,4,1.777777778,2.5,4,3.875,,,,,
1303,F,41,6,2.111111111,2.5,3.6,4,,,,,
1304,F,27,5,2.111111111,4.5,3,2.75,,,,,
1305,F,32,4,3,4,4.6,3.875,,,,,
1306,F,26,3,1.333333333,1.75,3.8,4,,,,,
1307,F,40,4,1.555555556,1,2.8,3.875,,,,,
1308,F,23,3,3,3.5,2,2.75,,,,,
1309,M,32,3,1.444444444,2,3,2.375,,,,,
1310,F,22,3,1.888888889,2,4.6,3.5,,,,,
1311,F,24,2,3.888888889,2,4.4,2.875,,,,,
1312,M,39,4,3.111111111,2,1.6,2,,,,,
1313,F,35,4,1.222222222,2,5,3.375,,,,,
1314,F,29,4,1,1,4.4,3.5,,,,,
1315,M,30,4,2.222222222,2,3,3,,,,,
1316,F,22,3,2,2.25,4.8,3.375,,,,,
1317,M,39,4,1.222222222,1,3.4,4,,,,,
1318,F,23,3,3.222222222,2.5,2.8,3.625,,,,,
1319,F,49,5,1.555555556,3.25,3.6,4,,,,,
1320,F,25,3,2.222222222,1.5,2.8,3.25,,,,,
1321,M,38,2,2.888888889,2.5,3.4,2.625,,,,,
1322,M,45,4,2.666666667,1,2.8,2.125,,,,,
1323,F,18,2,3.777777778,4,3.8,3.75,,,,,
1324,F,26,4,1.444444444,1.75,4.4,3.75,,,,,
1325,F,39,5,1.111111111,2,3.4,3.125,,,,,
1326,M,35,4,2.777777778,3.75,3.2,2.5,,,,,
1327,F,21,2,3.555555556,2,4.2,4,,,,,
1328,M,36,4,2.333333333,3,1.8,2.75,,,,,
1329,F,26,4,1.444444444,1,3.6,3,,,,,
1330,M,34,4,1.777777778,1,3.8,3.375,,,,,
1331,F,22,3,1.444444444,1.25,4.8,3.625,,,,,
1332,F,41,6,1.111111111,1,4,3.875,,,,,
1333,F,23,3,2.222222222,1.5,2.6,2.75,,,,,
1334,F,29,2,4.111111111,5,1,1.5,,,,,
1335,F,42,2,1.666666667,1.75,3.6,4,,,,,
1336,F,19,2,2,2,3.6,3.125,,,,,
1337,F,23,3,1.444444444,2,4.2,3.625,,,,,
1338,F,32,3,1.111111111,2.5,3.6,3.875,,,,,
1339,F,56,3,1.333333333,1.75,2.8,1,,,,,
1340,F,37,4,1.444444444,1.5,3.8,3.25,,,,,
1341,F,20,2,2,1,4,1.5,,,,,
1342,F,19,2,2.111111111,1.5,2.8,3.25,,,,,
1343,F,28,3,1.555555556,2,4.4,4,,,,,
1344,M,20,2,1.777777778,1,3.8,2.5,,,,,
1345,F,22,2,2.333333333,2.25,4,2.625,,,,,
1346,F,36,2,1.333333333,1.25,2,3.5,,,,,
1347,F,20,2,1.444444444,1.25,3.2,4,,,,,
1348,F,19,2,4.111111111,3.5,2.8,2.75,,,,,
1349,F,20,2,1.444444444,1.25,4.2,3.875,,,,,
1350,F,20,2,1.444444444,1.25,4.2,3.875,,,,,
1351,F,25,3,2.777777778,1.75,4.4,3.375,,,,,
1352,F,19,3,1,1,4.6,4,,,,,
1353,F,22,2,1.888888889,1,3,4,,,,,
1354,F,27,3,1.444444444,2,4.6,4,,,,,
1355,F,23,3,2.222222222,3.5,4.6,3.625,,,,,
1356,M,40,2,1,1,4.2,4,,,,,
1357,F,19,2,2.777777778,1.75,1,4,,,,,
1358,F,20,2,1.333333333,1.5,4.6,3.875,,,,,
1359,M,22,2,2.888888889,3.5,3.8,2.5,,,,,
1360,F,23,3,2.111111111,2,3.4,2.875,,,,,
1361,M,23,3,1,2.5,3,3.875,,,,,
1362,F,28,4,1.222222222,2,5,3.875,,,,,
1363,M,52,5,1.777777778,1,1.4,2.625,,,,,
1364,F,20,5,1.777777778,1,2.4,3,,,,,
1365,F,35,4,2,2,4.6,4,,,,,
1366,M,24,3,1.888888889,2.75,3.6,2,,,,,
1367,F,20,3,2,2.25,3.8,3.25,,,,,
1368,F,19,2,1.111111111,1,3.4,3.125,,,,,
1369,F,19,2,1.444444444,1,4.4,3.75,,,,,
1370,F,19,2,3.111111111,2,2.4,3.375,,,,,
1371,F,23,3,2.111111111,1.75,4,3.875,,,,,
1372,F,37,4,1.888888889,2.5,3.8,3.5,,,,,
1373,F,33,4,1.444444444,2,3.4,2.875,,,,,
1374,M,41,2,1.555555556,1.25,3.6,2.625,,,,,
1375,F,24,3,1.555555556,3.25,4.6,3.625,,,,,
1376,F,29,4,1.888888889,1.5,3.6,3.125,,,,,
1377,M,42,4,2.555555556,1,1.2,2.625,,,,,
1378,F,33,5,1,1,3.8,4,,,,,
1379,F,50,2,4.333333333,1,2.6,1.375,,,,,
1380,F,37,6,1,1,4,3.75,,,,,
1381,F,27,4,1.333333333,1.5,3.6,3.625,,,,,
1382,F,22,3,2.333333333,2,3.8,4,,,,,
1383,F,23,3,3,1.25,3.4,2.125,,,,,
1384,F,59,6,3.666666667,1.5,1.8,2.25,,,,,
1385,F,24,3,1.222222222,1,4.4,3.625,,,,,
1386,M,34,3,1,1.75,2.8,3.625,,,,,
1387,F,20,2,2.444444444,2.75,3.8,2.125,,,,,
1388,M,40,2,1.888888889,3.5,1.6,2.875,,,,,
1389,M,54,4,1,1,3.4,3.125,,,,,
1390,F,43,3,3.111111111,3.5,2.6,3.625,,,,,
1391,F,36,6,3.111111111,4.25,1.6,1.75,,,,,
1392,F,35,3,3.555555556,1.5,2.8,2.75,,,,,
1393,F,35,2,3.666666667,2.5,2.6,1.5,,,,,
1394,M,50,2,1.666666667,3,2.4,2.875,,,,,
1395,M,36,4,3,3.25,3.8,2.875,,,,,
1396,M,51,2,1.555555556,2.5,1.8,3.75,,,,,
1397,F,51,5,1.333333333,2,3.8,3.875,,,,,
1398,M,33,2,4.333333333,2.75,1,2.375,,,,,
1399,F,28,4,1.888888889,1.75,4.6,3.875,,,,,
1400,F,23,3,1.222222222,1,5,2.75,,,,,
1401,F,34,4,2.333333333,1,2.8,3.375,,,,,
1402,F,33,4,2.333333333,3.5,3.2,2.625,,,,,
1403,M,40,2,2.222222222,2.75,1,3.25,,,,,
1404,F,21,2,2,1,4.2,3.75,,,,,
1405,M,31,2,1.666666667,2.5,4,2.75,,,,,
1406,F,52,5,3.333333333,3.5,4.2,3.25,,,,,
1407,M,34,4,1,1,2.8,3.375,,,,,
1408,M,41,2,2.333333333,1.75,3.4,3.75,,,,,
1409,M,30,3,2.666666667,3,2.4,2,,,,,
1410,M,35,4,1.444444444,1,2.4,4,,,,,
1411,F,42,3,1.444444444,2.25,3.4,3.75,,,,,
1412,F,48,4,1.444444444,3.25,4.6,3.875,,,,,
1413,F,30,4,1.111111111,2,4.8,3.875,,,,,
1414,F,45,6,1.666666667,1.75,3.8,3.75,,,,,
1415,F,25,3,1.444444444,1.5,3.2,3.625,,,,,
1416,M,33,6,1.444444444,2,4.6,3.125,,,,,
1417,M,33,2,1,1,4.8,3.75,,,,,
1418,F,28,2,3.444444444,4,2.8,3.375,,,,,
1419,M,38,2,3.666666667,3,1.8,1.75,,,,,
1420,F,24,4,2.555555556,3.25,3.6,3,,,,,
1421,F,49,3,3.777777778,3.5,1,2.25,,,,,
1422,F,41,6,1.333333333,1,3.2,4,,,,,
1423,F,29,6,1,1,3.8,3.5,,,,,
1424,F,38,6,1,3.25,2,4,,,,,
1425,F,30,4,1.888888889,1,3.4,3.75,,,,,
1426,M,40,5,2.222222222,2,2.8,3.5,,,,,
1427,F,33,4,1.333333333,1.5,2.8,4,,,,,
1428,M,31,4,1.666666667,3,3.4,2.875,,,,,
1429,F,40,4,2.777777778,1.75,2.8,3.25,,,,,
1430,F,57,6,1.444444444,2,4.8,3.875,,,,,
1431,F,25,3,1.555555556,2.5,4.6,3.125,,,,,
1432,F,23,3,2,2,4.6,3.75,,,,,
1433,M,27,2,1.444444444,3.25,4,2.375,,,,,
1434,F,39,4,1,1,2,2.75,,,,,
1435,M,56,6,1.333333333,1,4.6,3.5,,,,,
1436,M,41,4,2,1.75,5,4,,,,,
1437,M,38,4,2.111111111,3.75,1,3.5,,,,,
1438,F,21,2,3.111111111,2.5,4.4,2.5,,,,,
1439,F,28,3,1.444444444,1,3.8,3.875,,,,,
1440,M,55,4,3.666666667,3,1.2,1.625,,,,,
1441,M,43,2,1.222222222,2.5,4,3.375,,,,,
1442,F,26,4,2.111111111,2.75,3.4,2.375,,,,,
