ID,gender,age,education,cov_cons,pseudo_info,trust_gov,compliance,,,,Values,
300,F,43,4,1.888888889,3,4,3.875,,,,,
301,F,34,4,2.888888889,4,3.6,3.75,,,,,
302,M,39,3,1.111111111,2,4.4,4,,,,,
303,F,25,4,1.555555556,1.75,3.6,3.25,,,,,
304,F,29,4,1.666666667,2.5,4.2,3.875,,,,,
305,F,36,4,3.333333333,2,2.2,2.375,,,,,
306,F,20,3,2.444444444,3.5,3.8,3.75,,,,,
307,M,40,4,4.111111111,3.5,3,3.375,,,,,
308,M,37,3,1.333333333,1.75,2.6,4,,,,,
309,F,44,2,1.666666667,1,3,2.125,,,,,
310,M,46,4,1.333333333,2.5,3.8,3.375,,,,,
311,F,39,2,1,2,4.2,3.875,,,,,
312,M,55,5,1,1.25,3.4,4,,,,,
313,F,41,4,3.111111111,2.75,3.2,3,,,,,
314,F,35,4,3.777777778,2,1,1.5,,,,,
315,F,44,4,1.111111111,2.5,3.6,4,,,,,
316,F,30,4,1.333333333,2,4,4,,,,,
317,F,37,4,2,1.75,4,3.125,,,,,
318,F,29,4,1,1.75,3.4,4,,,,,
319,F,28,2,1.888888889,2.5,4.6,3.75,,,,,
320,F,40,5,1.888888889,2,4.8,4,,,,,
321,F,28,2,1.333333333,1,4.4,3.75,,,,,
322,F,43,4,1.222222222,2,4.4,3.75,,,,,
323,M,41,2,1.333333333,1,4,2.75,,,,,
324,M,52,3,1,1.5,4.2,4,,,,,
325,F,47,6,1,1,3.4,3,,,,,
326,F,34,4,1.333333333,1,3.8,4,,,,,
327,F,36,5,2.444444444,3.5,3.8,3.625,,,,,
328,M,51,2,2.777777778,2,1.6,1.625,,,,,
329,F,45,2,1,1,2.8,3.625,,,,,
330,F,32,5,1.333333333,1.75,3.2,4,,,,,
331,M,28,5,3.444444444,4,2.2,1.875,,,,,
332,F,29,2,4,3.75,3,3.125,,,,,
333,F,29,2,2.111111111,3,4.4,4,,,,,
334,F,20,2,1.111111111,2.5,4.6,4,,,,,
335,F,40,4,2.666666667,2.25,4,3.5,,,,,
336,F,34,4,4.666666667,4.25,1.8,1.625,,,,,
337,F,45,2,1.333333333,1.5,3.6,3.625,,,,,
338,F,33,3,1.333333333,1.25,4,3.875,,,,,
339,F,20,2,2.111111111,4.5,3,2.375,,,,,
340,F,32,3,2.444444444,3.5,4.8,3.875,,,,,
341,M,47,2,1.222222222,1,2.8,2.75,,,,,
342,F,35,4,1.222222222,2.5,3.8,3.5,,,,,
343,F,32,4,1,1.5,3.4,3.875,,,,,
344,F,34,3,1.111111111,1,3.8,3.5,,,,,
345,F,30,3,2.222222222,1.25,3.6,3.625,,,,,
346,F,38,4,1.555555556,2,3.6,3.875,,,,,
347,F,40,3,1.222222222,1.5,2.2,3.75,,,,,
348,F,36,4,2.222222222,3,2.4,3.625,,,,,
349,F,43,5,1.111111111,1,2.8,3.625,,,,,
350,F,38,4,2,1.75,2.2,3.75,,,,,
351,M,48,5,1,1.5,3.6,4,,,,,
352,F,32,6,1,1,4.2,3.25,,,,,
353,F,42,4,1.222222222,2.5,3.4,3.875,,,,,
354,M,33,4,1.444444444,1,3.8,3.5,,,,,
355,F,41,5,1.333333333,1.25,4.4,3.625,,,,,
356,M,48,4,1.555555556,1.25,3.6,3,,,,,
357,M,20,2,2,3,3,2.375,,,,,
358,F,47,3,1,3,3.4,3.875,,,,,
359,F,25,5,2.666666667,1.75,2.8,3.75,,,,,
360,F,32,2,3.666666667,3.75,2,3,,,,,
361,F,23,3,3.111111111,2.5,3,2.875,,,,,
362,F,23,2,4.444444444,3.5,2,2.375,,,,,
363,F,34,4,1.111111111,1,3.2,3.75,,,,,
364,F,58,3,1.555555556,2,3.2,3.375,,,,,
365,F,34,4,2,3,4.6,3.875,,,,,
366,F,48,2,4,3.5,3.4,3.625,,,,,
367,M,44,2,1,1,2.4,3.75,,,,,
368,F,39,2,1.333333333,1.5,3.8,3.875,,,,,
369,F,22,3,3.222222222,3.25,4.2,3.375,,,,,
370,F,23,4,1.222222222,2.25,3.2,4,,,,,
371,F,43,2,1.333333333,2,3.6,3.75,,,,,
372,F,34,2,2.222222222,1.75,3.4,4,,,,,
373,F,40,4,2,1.5,3.2,3.75,,,,,
374,F,35,4,1,1,4,4,,,,,
375,F,51,2,1.444444444,2,3.6,4,,,,,
376,F,50,4,1.111111111,1,3.4,3.625,,,,,
377,F,44,2,1,1,3.8,3.875,,,,,
378,F,33,6,1,1,3.8,3.875,,,,,
379,F,45,5,1.111111111,1,4.2,2.25,,,,,
380,F,33,4,2,2.5,4,3.125,,,,,
381,F,30,5,2.666666667,1,1,3.125,,,,,
382,M,27,4,1.777777778,1,1,1.875,,,,,
383,F,39,4,1,3.25,4.6,4,,,,,
384,F,23,3,3.222222222,1.5,2.2,3.75,,,,,
385,F,42,6,1.111111111,1,4.4,3.875,,,,,
386,F,24,3,1.222222222,1,4.2,3.625,,,,,
387,F,42,4,2.777777778,4.25,2.4,3.625,,,,,
388,F,36,2,2,1,2.8,3.625,,,,,
389,F,58,2,1,1,3.6,4,,,,,
390,F,31,4,1.555555556,1,3.8,1.875,,,,,
391,F,54,3,1.333333333,1,3.8,3.875,,,,,
392,F,34,2,2.777777778,2,2.8,3.5,,,,,
393,M,32,4,2.888888889,4.25,3.6,2.375,,,,,
394,F,51,4,1.333333333,2.25,4.8,3.25,,,,,
395,F,41,2,1.777777778,4,5,3.25,,,,,
